,0,1,log
0,,,"['unable to get the rating', 'unable to get the user rating']"
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,NR,7,[]
3,NR,-,[]
4,NR,-,[]
5,,,"['unable to get the rating', 'unable to get the user rating']"
6,,,"['unable to get the rating', 'unable to get the user rating']"
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,,,"['unable to get the rating', 'unable to get the user rating']"
9,NR,,['unable to get the user rating']
10,,,"['unable to get the rating', 'unable to get the user rating']"
11,NR,,['unable to get the user rating']
12,,,"['unable to get the rating', 'unable to get the user rating']"
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,NR,8,[]
15,NR,-,[]
16,NR,7.5,[]
17,,,"['unable to get the rating', 'unable to get the user rating']"
18,,,"['unable to get the rating', 'unable to get the user rating']"
19,NR,7,[]
20,,,"['unable to get the rating', 'unable to get the user rating']"
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,,,"['unable to get the rating', 'unable to get the user rating']"
23,,,"['unable to get the rating', 'unable to get the user rating']"
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,NR,6.5,[]
26,,,"['unable to get the rating', 'unable to get the user rating']"
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,NR,-,[]
30,NR,-,[]
31,NR,-,[]
32,,,"['unable to get the rating', 'unable to get the user rating']"
33,,,"['unable to get the rating', 'unable to get the user rating']"
34,,,"['unable to get the rating', 'unable to get the user rating']"
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,,,"['unable to get the rating', 'unable to get the user rating']"
37,8.4,7.8,[]
38,,,"['unable to get the rating', 'unable to get the user rating']"
39,NR,-,[]
40,NR,,['unable to get the user rating']
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,,,"['unable to get the rating', 'unable to get the user rating']"
44,NR,6,[]
45,,,"['unable to get the rating', 'unable to get the user rating']"
46,,,"['unable to get the rating', 'unable to get the user rating']"
47,,,"['unable to get the rating', 'unable to get the user rating']"
48,,,"['unable to get the rating', 'unable to get the user rating']"
49,,,"['unable to get the rating', 'unable to get the user rating']"
50,,,"['unable to get the rating', 'unable to get the user rating']"
51,NR,7,[]
52,,,"['unable to get the rating', 'unable to get the user rating']"
53,,,"['unable to get the rating', 'unable to get the user rating']"
54,NR,8.2,[]
55,6.5,7.8,[]
56,NR,-,[]
57,,,"['unable to get the rating', 'unable to get the user rating']"
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,,"['unable to get the rating', 'unable to get the user rating']"
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,,,"['unable to get the rating', 'unable to get the user rating']"
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,,,"['unable to get the rating', 'unable to get the user rating']"
68,,,"['unable to get the rating', 'unable to get the user rating']"
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,,,"['unable to get the rating', 'unable to get the user rating']"
73,,,"['unable to get the rating', 'unable to get the user rating']"
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,,,"['unable to get the rating', 'unable to get the user rating']"
77,,,"['unable to get the rating', 'unable to get the user rating']"
78,NR,7,[]
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,NR,,['unable to get the user rating']
81,8,6.9,[]
