,0,1,log
0,,,"['unable to get the rating', 'unable to get the user rating']"
1,,,"['unable to get the rating', 'unable to get the user rating']"
2,,,"['unable to get the rating', 'unable to get the user rating']"
3,,,"['unable to get the rating', 'unable to get the user rating']"
4,,,"['unable to get the rating', 'unable to get the user rating']"
5,,,"['unable to get the rating', 'unable to get the user rating']"
6,,,"['unable to get the rating', 'unable to get the user rating']"
7,,,"['unable to get the rating', 'unable to get the user rating']"
8,,,"['unable to get the rating', 'unable to get the user rating']"
9,,,"['unable to get the rating', 'unable to get the user rating']"
10,,,"['unable to get the rating', 'unable to get the user rating']"
11,,tbd,['unable to get the rating']
12,,tbd,['unable to get the rating']
13,,,"['unable to get the rating', 'unable to get the user rating']"
14,,,"['unable to get the rating', 'unable to get the user rating']"
15,,,"['unable to get the rating', 'unable to get the user rating']"
16,,,"['unable to get the rating', 'unable to get the user rating']"
17,,tbd,['unable to get the rating']
18,,,"['unable to get the rating', 'unable to get the user rating']"
19,,,"['unable to get the rating', 'unable to get the user rating']"
20,,,"['unable to get the rating', 'unable to get the user rating']"
21,,,"['unable to get the rating', 'unable to get the user rating']"
22,,,"['unable to get the rating', 'unable to get the user rating']"
23,,,"['unable to get the rating', 'unable to get the user rating']"
24,,,"['unable to get the rating', 'unable to get the user rating']"
25,,,"['unable to get the rating', 'unable to get the user rating']"
26,,,"['unable to get the rating', 'unable to get the user rating']"
27,,,"['unable to get the rating', 'unable to get the user rating']"
28,,,"['unable to get the rating', 'unable to get the user rating']"
29,,,"['unable to get the rating', 'unable to get the user rating']"
30,,,"['unable to get the rating', 'unable to get the user rating']"
31,,tbd,['unable to get the rating']
32,,,"['unable to get the rating', 'unable to get the user rating']"
33,,,"['unable to get the rating', 'unable to get the user rating']"
34,,tbd,['unable to get the rating']
35,,,"['unable to get the rating', 'unable to get the user rating']"
36,,,"['unable to get the rating', 'unable to get the user rating']"
37,,,"['unable to get the rating', 'unable to get the user rating']"
38,,,"['unable to get the rating', 'unable to get the user rating']"
39,,,"['unable to get the rating', 'unable to get the user rating']"
40,70,7.8,[]
41,,,"['unable to get the rating', 'unable to get the user rating']"
42,,,"['unable to get the rating', 'unable to get the user rating']"
43,,,"['unable to get the rating', 'unable to get the user rating']"
44,,,"['unable to get the rating', 'unable to get the user rating']"
45,,,"['unable to get the rating', 'unable to get the user rating']"
46,,,"['unable to get the rating', 'unable to get the user rating']"
47,,tbd,['unable to get the rating']
48,,,"['unable to get the rating', 'unable to get the user rating']"
49,,tbd,['unable to get the rating']
50,,,"['unable to get the rating', 'unable to get the user rating']"
51,,,"['unable to get the rating', 'unable to get the user rating']"
52,,,"['unable to get the rating', 'unable to get the user rating']"
53,,,"['unable to get the rating', 'unable to get the user rating']"
54,,,"['unable to get the rating', 'unable to get the user rating']"
55,,,"['unable to get the rating', 'unable to get the user rating']"
56,,7.0,['unable to get the rating']
57,,,"['unable to get the rating', 'unable to get the user rating']"
58,,,"['unable to get the rating', 'unable to get the user rating']"
59,,tbd,['unable to get the rating']
60,,,"['unable to get the rating', 'unable to get the user rating']"
61,,,"['unable to get the rating', 'unable to get the user rating']"
62,,,"['unable to get the rating', 'unable to get the user rating']"
63,,,"['unable to get the rating', 'unable to get the user rating']"
64,,,"['unable to get the rating', 'unable to get the user rating']"
65,,,"['unable to get the rating', 'unable to get the user rating']"
66,,,"['unable to get the rating', 'unable to get the user rating']"
67,,tbd,['unable to get the rating']
68,,tbd,['unable to get the rating']
69,,,"['unable to get the rating', 'unable to get the user rating']"
70,,,"['unable to get the rating', 'unable to get the user rating']"
71,,,"['unable to get the rating', 'unable to get the user rating']"
72,,,"['unable to get the rating', 'unable to get the user rating']"
